Name,Address,Coordinates,Type,District
Toddler Preschool,"ул. Каныша Сатпаева, 90/36блок1","76.874284,43.231277",садик,Бостандыкский
Zerek Bala,"ул. Таира Жарокова, 320","76.906056,43.202041",садик,Бостандыкский
Ясли-сад № 112,"ул. Зеина Шашкина, 32А","76.938334,43.222120",садик,Бостандыкский
Детский сад № 107 Колосок,"ул. Карасай батыра, 175","76.905907,43.248953",садик,Бостандыкский
Ясли-сад № 53,"ул. Токтабаева, 25А","76.874970,43.209259",садик,Бостандыкский
Wunderkinds,"ул. Оноре де Бальзака, 12А","76.934303,43.224558",садик,Бостандыкский
Ясли-сад № 16,"просп. Сакена Сейфуллина, 587","76.933470,43.244228",садик,Бостандыкский
Детский сад Байтерек,"ул. Кенесары хана, 67","76.877498,43.168413",садик,Бостандыкский
Ясли-сад № 20,"просп. Абылай хана, 102","76.942719,43.247481",садик,Бостандыкский
Ясли-сад № 12,"ул. Курмангазы, 120","76.921424,43.242600",садик,Бостандыкский
Qasiet future,"Бостандыкский район, микрорайон Нур Алатау, ул. Ораза Абишева, 12","76.894804,43.190299",садик,Бостандыкский
Карлыгаш,"Грушовая ул., 12А","76.913863,43.181501",садик,Бостандыкский
Qazkids,"Алматы, Бостандыкский район, микрорайон Нур Алатау","76.902840,43.188870",садик,Бостандыкский
Guldenu kids,"микрорайон Алмагуль, 28А","76.900527,43.204829",садик,Бостандыкский
International Bright School Preschool Almaty,"Бостандыкский район, микрорайон Нурлытау, ул. Розы Жамановой, 102","76.899462,43.168207",садик,Бостандыкский
Мурагер,"Бостандыкский район, микрорайон Нур Алатау, ул. Мамыр, 14","76.902059,43.194220",садик,Бостандыкский
Карусель,"микрорайон Горный Гигант, ул. Фазыла Карибжанова, 22","76.941931,43.220413",садик,Бостандыкский
Бала Paradise,"ул. Султанбека Ходжанова, 59/4","76.910393,43.209781",садик,Бостандыкский
Частный детский сад Дара,"ул. Василия Клочкова, 28","76.901573,43.245492",садик,Бостандыкский
Ясли-сад № 191,"ул. Егизбаева, 7/11","76.884683,43.230896",садик,Бостандыкский
Grammy Kids,"ул. Бекена Жамакаева, 46","76.941416,43.221224",садик,Бостандыкский
Smart kids,"ул. Айтиева, 41","76.905071,43.247358",садик,Бостандыкский
Улыбка,"ул. Галыма Ахмедьярова, 27","76.949591,43.216731",садик,Бостандыкский
Болашак Галым,"ул. Таира Жарокова, 278А","76.904856,43.208020",садик,Бостандыкский
Детский сад международного колледжа непрерывного образования,"ул. Панфилова, 138А","76.946575,43.245535",садик,Бостандыкский
Достар,"ул. Халела Досмухамедова, 4/6","76.923569,43.261655",садик,Бостандыкский
Золотой Дракоша,"ул. Серке Кожамкулова, 151","76.915911,43.256770",садик,Бостандыкский
Baq & Co,"Бостандыкский район, микрорайон Нур Алатау, ул. Султангали Шукирова, 67","76.894391,43.191587",садик,Бостандыкский
I Sana,"ул. Шолпан Жандарбековой, 101","76.924192,43.191090",садик,Бостандыкский
Union preschool,"ул. Садовникова, 35","76.877658,43.222324",садик,Бостандыкский
Ясли-сад № 46,"11-й микрорайон, 34А","76.874010,43.221614",садик,Бостандыкский
Ай Патшам,"ул. Курманбека Жандарбекова, 224","76.899903,43.227031",садик,Бостандыкский
Ясли-сад № 41,"ул. Сырбая Мауленова, 58","76.934944,43.256632",садик,Бостандыкский
Wonderland,"микрорайон Коктем-1, 30А","76.924287,43.230897",садик,Бостандыкский
Ясли-сад № 19,"просп. Сакена Сейфуллина, 557","76.932849,43.249581",садик,Бостандыкский
Ясли-сад № 58,"микрорайон Таугуль-1, 39","76.879262,43.213748",садик,Бостандыкский
Al-Farabi kids,"ул. Шахмета Хусаинова, 187","76.892015,43.211867",садик,Бостандыкский
Умка,"Хан тәңірі көшесі, 70/71","76.892622,43.171636",садик,Бостандыкский
Bambika-club,"микрорайон Хан Тенгри, 7","76.889859,43.186569",садик,Бостандыкский
Teams Kindergarten,"ул. Жанакорган, 25/1","76.932233,43.196061",садик,Бостандыкский
"Мирас, детский сад","Алматы, микрорайон Мирас","76.878784,43.193556",садик,Бостандыкский
Айдана,"Бостандыкский район, квартал Алатау, ул. Алатау, 8","76.895985,43.152187",садик,Бостандыкский
Балбобек,"ул. Евгения Брусиловского, 17","76.875015,43.252461",садик,Бостандыкский
Радость детства,"микрорайон Достык, ул. Розыбакиева, 29А","76.888629,43.244479",садик,Бостандыкский
